id,name,creator,abos ,bereich,konstellation,aktiv,jahr,funk,wohnsitz,veröffentlichungsdatum,upload,austrittsdatum,kritikvideos,reaktion_kritik
funk,funk,ARD&ZDF,226,f,2,1,2016,1,Mainz,,0,,,0
strg,STRG_F,NDR,1180,f,2,1,2017,1,Hamburg,,15,,,1
yk,Y-Kollektiv,ARD,1110,u,2,1,2016,3,Hamburg,,15,13/07/23,,
ofue,offen un' ehrlich,ARD&ZDF,480,f,2,1,2016,1,Saarbrücken,,11,,,0
rp,reporter,WDR,393,f,2,1,2014,1,Köln,,17,,,0
lww,Leeroy will`s wissen!,Marcel Gerber,2420,mb,1,2,2018,3,Köln,28/11/23,23,05/04/23,1,
alke,AlphaKevin,Oliver Guthe,234,mb,1,1,2015,2,Leonberg,19/09/23,63,,9,
gnu,Jasmin Gnu,Jasmin Sibel,476,i,1,1,2019,2,Stuttgart,05/12/23,64,,1,
gifh,Genug Internet für heute,Alicia Joester,154,mb,1,1,2019,2,Stuttgart,02/09/23,64,,7,
sash,Sashka,Alexandra Schulze,794,mb,1,1,2015,2,Hannover,05/11/23,20,,3,
renzo,Renzo,Sebastian Meyer,1170,mb,1,1,2021,2,Aachen,02/12/23,16,,2,
prinz,Prinz,Alexander Prinz,180,r,1,1,2014,2,Halle,06/12/23,28,,3,
drfr,DoktorFroid Reacts ,Florian Diedrich,471,r,2,1,2010,2,Berlin,04/12/23,251,,2,
dpbr,Der Dunkle Parabelritter,Alexander Prinz,565,mb,1,1,2012,1,Halle,05/10/23,21,,2,
pony,Ponyhof,Tim Heldt,61,mb,2,1,2010,2,Braunschweig,18/01/24,20,,2,
kutv,KuchenTV,Tim Heldt,1120,mb,1,1,2011,2,Braunschweig,01/10/23,91,,7,
nero,Just Nero,Robin,444,mb,1,1,2014,2,Leonberg,24/09/23,21,,8,
imp,imp,Imp,68,mb,1,1,2016,2,Deutschland,14/11/23,15,,1,
klng,Klengan,Timon,547,mb,1,1,2012,2,Köln,30/11/23,13,,1,
tj,PowerTJ,Tim Jacken,239,mb,1,1,2013,2,Aachen,07/10/23,90,,9,
schl,Schlumpf,Sebastian Meyer,433,r,1,1,2020,2,Aachen,27/09/23,49,,2,
rike,Richtiger Kevin,Marcel Eris,1900,r,1,1,2016,2,Hamburg,19/09/23,85,,2,
dicr,Die Crew,Marcel Eris,2050,r,1,1,2016,2,Hamburg,13/11/23,88,,1,
doc,doc felix,Felix M.Berndt,136,w,1,1,2020,2,Hagen,12/01/24,68,,1,
dfr,Die Frage,ARD&ZDF,659,f,2,1,2016,1,Mainz,,19,,,0
trd,TRU DOKU,ZDF.reportage,366,f,2,1,2019,1,Berlin,,25,,,0
unbu,unbubble,ZDFkultur,140,u,2,1,2022,2,Mainz,,23,,0,
cri,CRISIS - Hinter der Front,ARD&ZDF,101,f,2,1,2022,1,Mainz,,15,,,0
fmr,follow me.reports,ZDFinfo,563,f,2,1,2017,1,Berlin,,11,,,0
mrw,MrWissen2go,ARD&ZDF,2120,f,1,1,2012,1,Rheinhessen,,26,,,0
ddo,DIE DA OBEN!,ARD&ZDF,265,f,2,1,2016,1,Berlin,,17,,,0
hyp,HYPECULTURE,ARD&ZDF,127,f,2,1,2022,1,Berlin,,11,,,0
atl,ATLAS,ARD&ZDF,146,f,2,1,2022,1,Mainz,,22,,,0
sts,"Sonne,Tod & Sterne",ARD&ZDF,33,f,1,1,2023,1,Mainz,,3,,,0
chm,Chris Müller,ARD&ZDF,13,f,1,1,2019,1,Stuttgart,,9,,,0
psy,psychologeek,ARD&ZDF,182,f,2,1,2020,1,Hamburg,,24,,,0
wkw,Was kostet die Welt?,ARD&ZDF,41,f,2,1,2022,1,Mainz,,9,,,0
dbi,Der Biograph,ARD&ZDF,337,f,1,1,2016,1,Berlin,,12,,,0
dsdn,Das schaffst du nie!,ARD&ZDF,821,f,2,1,2017,3,München,,20,08/02/24,1,
phil,Phil Laude,ARD&ZDF,1160,f,1,1,2015,1,Köln,,19,,,0
wmms,WUMMS,NDR,1000,f,2,1,2016,1,Hamburg,,8,,,0
wwwz,World Wide Wohnzimmer,ARD&ZDF,1420,f,2,1,2010,1,Düsseldorf,,104,,,0
cldm,Coldmirror,ARD&ZDF,1510,f,1,1,2006,1,Bremen,,5,,,0
pshd,Parshad,ARD&ZDF,88,f,1,1,2021,1,Darmstadt,,13,,,0
eyjm,EY JAMAL,ARD&ZDF,217,f,1,1,2021,1,München,,1,,,0
hecr,Henkes Corner,ARD&ZDF,5,f,1,1,2023,1,Mainz,,18,,,0
dttl,datteltäter,ARD&ZDF,617,f,2,1,2016,1,Berlin,,12,,,0
eifu,EINFACH FUSSBALL.,ARD&ZDF,67,f,2,1,2020,1,Mainz,,27,,,0
dund,deep und deutlich,ARD&ZDF,68,f,2,1,2021,1,Mainz,,13,,,0
cisb,Cinema Strikes Back,ARD&ZDF,355,f,2,1,2017,1,Köln,,86,,,0
aklo,Auf Klo,ARD&ZDF,343,f,2,1,2016,1,Berlin,,3,,,0
hhhe,Hundert Hektar Heimat,MDR,77,f,2,1,2021,1,Berlin,,11,,,0
ismp,IST SOCIAL MEDIA PEINLICH,ARD&ZDF,28,f,2,1,2022,1,Berlin,,18,,,0
brba,Browser Ballet,ZDFneo,433,u,2,1,2016,3,Berlin,,16,29/04/22,,0
kurz,Dinge Erklärt - Kurzgesagt,Kurzgesagt,2190,u,2,1,2014,3,München,,8,31/12/22,,0
game,Game Two,ZDFneo,509,u,2,1,2016,3,Hamburg,,51,21/04/23,,0
juns,Jäger & Sammler,ARD&ZDF,12,f,2,1,2016,1,Mainz,,3,,,0
klie,Kliemannsland,Kliemannsland,592,u,2,2,2016,3,Rüspel,,6,31/07/20,,0
mail,maiLab,ZDFneo,1450,w,1,1,2016,3,Frankfurt,,2,01/01/24,,0
rayk,Rayk Anders,Rayk Anders,118,l,1,1,2016,3,Berlin,,3,31/12/19,,0
simp,Simplicissimus,Simplicissimus,1390,w,2,1,2015,3,Amsterdam,,22,15/05/22,,0
smta,So Many Tabs,ARD&ZDF,44,f,2,2,2020,3,Berlin,,0,04/07/22,,0
ulvi,ultraviolett stories,ARD&ZDF,17,f,2,2,2021,3,Mainz,,0,01/06/23,,0
zwfr,zweifelsfrei.,ARD&ZDF,19,f,2,2,2022,3,Mainz,,0,29/03/23,,0
shlo,DieVulgäreAnalyse,Shlomo Finkelstein,3,mb,1,1,2021,2,Deutschland,,0,,0,
clwn,Clownswelt,Clownie,152,mb,1,1,2021,2,Deutschland,07/09/23,66,,1,
idio,Idiotenwatch,Kasper,51,mb,1,2,2016,2,Deutschland,,0,,0,
hngw,KasperKast X HonigWabe,Shlomo & Kasper,45,mb,2,1,2018,2,Deutschland,08/09/23,26,,1,
sttm,Schattenmacher,Schattenmacher,50,mb,1,1,2016,2,Deutschland,,22,,0,
bvms,Boris von Morgenstern,Boris von Morgenstern,74,mb,1,1,2021,2,Deutschland,,25,,0,
krtz,Krautzone,Florian Müller & Hannes Plenge,17,mb,2,1,2017,2,Krefeld,,49,,0,
haz,Hazelnussallergie,Hazel Nguyen,64,mb,1,1,2020,2,Berlin,05/11/23,23,,2,
